 CIN, Company Name, Date Of Registration, Class, Company Type, Activity Code
U62013GJ2024FTC147393,ATQOR TECHNOLOGIES PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,62
U43210MH2024FTC416474,ENERGY MARK INDIA PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,43
U58201TZ2024FTC030296,FOUNTAIN HILLS TECHNOLOGIES INDIA PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,58
U62013HR2024FTC117677,NINE-OH-NINE TECHNOLOGIES PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,62
U28229DL2024FTC424680,PERTICI INDUSTRY INDIA PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,28
U58201PN2024FTC226946,TCAST AI INDIA PRIVATE LIMITED,01-01-2024,Private,subsidiary of company incorporated outside India,58
U10792TN2024FTC166473,DAMN FINE PREMIUM FOOD SOLUTIONS PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,10
U42101DL2024FTC424736,DELHI HAPUR MEERUT EXPRESSWAY PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,42
U46413TN2024FTC166481,FREETREND INDUSTRIAL INDIA PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,46
U62099KA2024FTC183063,HLT TECHNOLOGY PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,62
U42101DL2024FTC424732,MALAYAGIRI HIGHWAYS PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,42
U56291TS2024FTC180702,NOSTALGIC TASTY FOODS PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,56
U62020TS2024FTC180692,SEANERGY DIGITAL HEALTH TECH PRIVATE LIMITED,02-01-2024,Private,subsidiary of company incorporated outside India,62
U62099KA2024FTC183092,BOMBAYWELL INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U62011TN2024FTC166489,CNS ME INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U70200DL2024FTC424808,CRANMORE INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,70
U62013PB2024FTC060417,DGS-EDGECLOUDTECH PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U62099MH2024FTC416643,DWORKIN INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U66300GJ2024FTC147493,FARRO VENTURES (IFSC) PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,66
U46511RJ2024FTC091943,IGOLAB INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,46
U74909TS2024FTC180744,IMMUNOSPOT TECHNOLOGY INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,74
U62020TN2024FTC166503,MX BUILD TECHNOLOGIES INDIA PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U09900MH2024FTC416634,PETROLINE-A TECHENGG PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,9
U52231TN2024FTC166516,SPRINTUS INDIA LOGISTICS PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,52
U62099GJ2024FTC147456,XINOTECH CORE PRIVATE LIMITED,03-01-2024,Private,subsidiary of company incorporated outside India,62
U41001MH2024FTC416773,BANDRA KURLA OFFICE ASSET PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,41
U41001KA2024FTC183173,BANGALORE BP 3 PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,41
U79120TN2024FTC166535,CEYSAID HOLIDAYS INDIA PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,79
U62013MP2024FTC069248,CODEHIVE TECHNOLOGIES PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,62
U62013PN2024FTC227037,ISHKA SOFTWARE TECHNOLOGIES (INDIA) PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,62
U66190MH2024FTC416781,RISING INCLUSION ADVISORS PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,66
U82990TS2024FTC180776,RXBENEFITS HEALTHCARE INDIA PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,82
U72100KA2024FTC183136,SERENIAL TECHNOLOGY PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,72
U62090KA2024FTC183175,SYCAMORE INFORMATICS INDIA PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,62
U70200AS2024FTC025761,ZMM FINANCIAL CONSULTING PRIVATE LIMITED,04-01-2024,Private,subsidiary of company incorporated outside India,70
U62013MH2024FTC416820,CRAFT CXM SERVICES INDIA PRIVATE LIMITED,05-01-2024,Private,subsidiary of company incorporated outside India,62
U52231MH2024FTC416801,GOLDAIR HANDLING INDIA (NAGPUR) PRIVATE LIMITED,05-01-2024,Private,subsidiary of company incorporated outside India,52
U26400UP2024FTC195303,INTOPS INDIA PRIVATE LIMITED,05-01-2024,Private,subsidiary of company incorporated outside India,26
